Aries (Ari)		RA				Dec			mag							
Star	SpecClass	h	m	s		deg	arcmin	arcsec	vm		3	0	0	0	0	0
α Ari	K2 III	2	7	10.29	1	23	27	46	2.01		2					
β Ari	A5 V	1	54	38.35	1	20	48	29.9	2.64		3					
41 Ari	B8 Vn	2	49	58.99	1	27	15	38.8	3.61		1					
																
Taurus (Tau) [Aur]		RA				Dec			mag							
Star	SpecClass	h	m	s		deg	arcmin	arcsec	vm		4	8	0	0	0	0
Aldebaran, α Tau	K5 III	4	35	55.2	1	16	30	35.1	0.87			2				
β Tau	B7 III	5	26	17.5	1	28	36	28.3	1.65		1					
Alcyone A, η Tau	B7 III	3	47	29.06	1	24	6	18.9	2.85							
ζ Tau	B4 IIIP	5	37	38.68	1	21	8	33.3	2.97			1				
θ2 Tau	A7 III	4	28	39.67	1	15	52	15.4	3.4			3				
λ Tau	B3 V + A4 IV	4	0	40.82	1	12	29	25.4	3.41			6				
ε Tau	K0 III	4	28	36.93	1	19	10	49.9	3.53		2					
ο Tau	G8 III	3	24	48.84	1	9	1	44.6	3.61							
Atlas A	B8 III	3	49	9.73	1	24	3	12.7	3.62							
γ Tau	G8 III	4	19	47.53	1	15	37	39.7	3.65		4	5				
Electra	B6 III	3	44	52.52	1	24	6	48.4	3.72							
ξ Tau	B9 Vn	3	27	10.12	1	9	43	58	3.73			7				
δ1 Tau	G8 III	4	22	56.03	1	17	32	33.3	3.77		3					
θ1 Tau	G7 III	4	28	34.43	1	15	57	44	3.84			4				
Maia	B8 III	3	45	49.59	1	24	22	4.3	3.87							
ν Tau	A1 V	4	3	9.38	1	5	59	21.5	3.91			8				
																
Gemini (Gem)		RA				Dec			mag							
Star	SpecClass	h	m	s		deg	arcmin	arcsec	vm		8	0	0	0	0	0
Pollux, β Gem	K0 III	7	45	19.36	1	28	1	34.7	1.16		4					
Castor A, α Gem	A2 Vm	7	34	36	1	31	53	19.1	1.9		5					
γ Gem	A0 IV	6	37	42.7	1	16	23	57.9	1.93		2					
μ Gem	M3 III	6	22	57.59	1	22	30	49.9	2.87		7					
Castor B, α Gem	A1 IV	7	34	36	1	31	53	19	2.88							
ε Gem	G8 Ib	6	43	55.93	1	25	7	52.2	3.06		6					
η Gem	M3 III	6	14	52.7	1	22	30	24.6	3.31		8					
ξ Gem	F5 IV	6	45	17.43	1	12	53	45.8	3.35		1					
δ Gem	F0 IV	7	20	7.39	1	21	58	56.4	3.5		3					
κ Gem	G8 III	7	44	26.87	1	24	23	53.3	3.57							
λ Gem	A3 V	7	18	5.61	1	16	32	25.7	3.58							
θ Gem	A3 III	6	52	47.34	1	33	57	40.9	3.6							
ι Gem	G9 III	7	25	43.68	1	27	47	53.8	3.78							
																
Cancer (Cnc)		RA				Dec			mag							
Star	SpecClass	h	m	s		deg	arcmin	arcsec	vm		2	0	0	0	0	0
β Cnc	K4 III	8	16	30.95	1	9	11	8.4	3.53		1					
δ Cnc	K0 III	8	44	41.11	1	18	9	17.5	3.94		2					
																
Leo (Leo)		RA				Dec			mag							
Star	SpecClass	h	m	s		deg	arcmin	arcsec	vm		3	8	0	0	0	0
Regulus, α Leo	B7 V	10	8	22.46	1	11	58	1.9	1.36			3				
Denebola, β Leo	A3 Vvar	11	49	3.88	1	14	34	20.4	2.14		3	1				
γ1 Leo	K0 III	10	19	58.16	1	19	50	30.7	2.37			5				
δ Leo	A4 V	11	14	6.41	1	20	31	26.5	2.56		2					
ε Leo	G0 II	9	45	51.1	1	23	46	27.4	2.97			8				
θ Leo	A2 V	11	14	14.44	1	15	25	47.1	3.33		1	2				
ζ Leo	F0 III	10	16	41.4	1	23	25	2.4	3.43			6				
η Leo	A0 Ib	10	7	19.95	1	16	45	45.6	3.48			4				
ο Leo A	A5 V	9	41	9.12	1	9	53	32.6	3.52							
ο Leo B	F9-G0 III ?	9	41	13.4	1	9	54	35	3.7							
γ2 Leo	G7 IIIb ?	10	19	58.6	1	19	50	26	3.8							
ρ Leo	B1 Ib SB	10	32	48.68	1	9	18	23.7	3.84							
μ Leo	K0 III	9	52	45.96	1	26	0	25.5	3.88			7				
ι Leo	F2 IV SB	11	23	55.37	1	10	31	46.9	4							
																
Virgo (Vir)		RA				Dec			mag							
Star	SpecClass	h	m	s		deg	arcmin	arcsec	vm		5	4	2	2	0	0
Spica, α Vir	B1 V	13	25	11.6	-1	11	9	40.5	0.98		2		2			
