Cygnus (Cyg)		RA				Dec			mag							
Star	SpecClass	h	m	s		deg	arcmin	arcsec	vm		6	3	0	0	0	0
Deneb, α Cyg	A2 Ia	20	41	25.91	1	45	16	49.2	1.25			1				
γ Cyg	F8 Ib	20	22	13.7	1	40	15	24.1	2.23		3	2				
ε Cyg	K0 III	20	46	12.43	1	33	58	10	2.48		2					
δ Cyg	B9.5 III	19	44	58.44	1	45	7	50.5	2.86		4					
Albireo A, β1 Cyg	K3 II	19	30	43.29	1	27	57	34.9	3.05			3				
ζ Cyg	G8 II SB	21	12	56.18	1	30	13	37.5	3.21		1					
ξ Cyg	K5 Ibv SB	21	4	55.86	1	43	55	40.3	3.72							
τ Cyg	F1 IV	21	14	47.35	1	38	2	39.6	3.74							
ι Cyg	A5 Vn	19	29	42.34	1	51	43	46.1	3.76		5					
κ Cyg	K0 III	19	17	6.11	1	53	22	5.4	3.8		6					
ο1 Cyg	K2 II	20	13	37.9	1	46	44	28.8	3.8							
η Cyg	K0 IIIvar	19	56	18.4	1	35	5	0.6	3.89							
ν Cyg	A1 Vn	20	57	10.41	1	41	10	1.9	3.94							
ο2 Cyg	K3 Ib-II comp	20	15	28.32	1	47	42	51.1	3.96							
ρ Cyg	G8 III	21	33	58.87	1	45	35	31.4	3.98							
																
Lyra (Lyr)		RA				Dec			mag							
Star	SpecClass	h	m	s		deg	arcmin	arcsec	vm		0	0	0	0	0	0
Vega, α Lyr	A0 Vvar	18	36	56.19	1	38	46	58.8	0.03							
γ Lyr	B9 III	18	58	56.62	1	32	41	22.4	3.25							
β Lyr A	A8 :V comp SB	18	50	4.79	1	33	21	45.6	3.52							
																
*Vulpecula (Vul)		RA				Dec			mag							
																
Sagitta (Sge)		RA				Dec			mag							
Star	SpecClass	h	m	s		deg	arcmin	arcsec	vm		2	0	0	0	0	0
γ Sge	K5 III	19	58	45.39	1	19	29	31.5	3.51		1					
δ Sge B	M2II	19	47	23.1	1	18	32	1	3.8							
δ Sge A	B6 V	19	47	23.27	1	18	32	3.3	3.82		2					
																
Hercules (Her)		RA				Dec			mag							
Star	SpecClass	h	m	s		deg	arcmin	arcsec	vm		8	5	2	2	2	0
β Her	G8 III	16	30	13.26	1	21	29	22.7	2.78		7				1	
ζ Her	F9 IV	16	41	17.48	1	31	36	6.8	2.81		6			2		
δ Her	A3 Ivv SB	17	15	1.92	1	24	50	22.5	3.12		4					
π Her	K3 Iivar	17	15	2.85	1	36	48	33	3.16			3	1			
α1 Her	M5 Iivar	17	14	38.86	1	14	23	24.9	3.31		8					
μ Her	G5 IV	17	46	27.72	1	27	43	21	3.42		3					
η Her	G7.5 IIIb	16	42	53.74	1	38	55	20.9	3.48			4		1		
ξ Her	K0 III	17	57	45.83	1	29	14	52.5	3.7		2					
γ Her	A9 III	16	21	55.24	1	19	9	10.9	3.74						2	
ι Her	B3 V SB	17	39	27.89	1	46	0	22.8	3.82			1				
ο Her	B9.5 V	18	7	32.55	1	28	45	44.9	3.84		1					
109 Her	K2 III	18	23	41.77	1	21	46	13.2	3.85							
θ Her	K1 Iivar	17	56	15.18	1	37	15	1.9	3.86			2				
τ Her	B5 IV	16	19	44.45	1	46	18	47.8	3.91			5				
ε Her	A0 V	17	0	17.41	1	30	55	34.8	3.92		5		2			
																
Aquila (Aql)		RA				Dec			mag							
Star	SpecClass	h	m	s		deg	arcmin	arcsec	vm		7	4	0	0	0	0
Altair, α Aql	A7 IV-V	19	50	46.68	1	8	52	2.6	0.76		1	2				
γ Aql	K3 II	19	46	15.57	1	10	36	47.8	2.72		7	1				
ζ Aql	A0 Vn	19	5	24.61	1	13	51	49.4	2.99		6					
θ Aql	B9.5 III	20	11	18.26	-1	0	49	17.3	3.24		3					
δ Aql	F0 IV	19	25	29.75	1	3	6	52.5	3.36		5	3				
λ Aql	B9 Vn	19	6	14.95	-1	4	52	56.4	3.43			4				
β Aql	G8 Ivvar	19	55	18.77	1	6	24	28.6	3.71		2					
η Aql	F6 Ib- G4 Ib	19	52	28.36	1	1	0	20.4	3.87		4					
																
Ophiuchus (Oph) [Ser]		RA				Dec			mag							
Star	SpecClass	h	m	s		deg	arcmin	arcsec	vm		10	2	2	0	0	0
α Oph	A5 III	17	34	56	1	12	33	38.1	2.08		4					
η Oph	A2.5 Va	17	10	22.66	-1	15	43	30.5	2.43		10	2	1			
ζ Oph	O9.5 V	16	37	9.53	-1	10	34	1.7	2.54		9					
δ Oph	M1 III	16	14	20.77	-1	3	41	38.3	2.73		7					
β Oph	K2 III	17	43	28.38	1	4	34	0.9	2.76		3		2			
κ Oph	K2 IIIvar	16	57	40.27	1	9	22	30.2	3.19		5					
ε Oph	G8 III	16	18	19.24	-1	4	41	33.4	3.23		8					
θ Oph	B2 IV	17	22	0.58	-1	24	59	58.2	3.27			1				
ν Oph	K0 III	17	59	1.6	-1	9	46	24.1	3.32		1					
72 Oph	A4 Ivs	18	7	21.02	1	9	33	49.2	3.71							
γ Oph	A0 V	17	47	53.57	1	2	42	26.9	3.75		2					
λ Oph	A2 V	16	30	54.84	1	1	59	2.8	3.82		6					
67 Oph	B5 Ib	18	0	38.72	1	2	55	53.7	3.93							
																
Serpens (Ser)		RA				Dec			mag							
Star	SpecClass	h	m	s		deg	arcmin	arcsec	vm		4	7	0	0	0	0
α Ser	K2 III	15	44	16	1	6	25	31.9	2.63			4				
η Ser	K0 III-IV	18	21	18.92	-1	2	53	49.6	3.23		1					
μ Ser	A0 V	15	49	37.27	-1	3	25	48.5	3.54			2				
ξ Ser	F0 IIIp	17	37	35.23	-1	15	23	54.3	3.54		3					
β Ser	A3 V	15	46	11.21	1	15	25	18.9	3.65			6				
ε Ser	A2 m	15	50	48.89	1	4	28	39.3	3.71			3				
δ Ser (A)	F0 IV	15	34	48.19	1	10	32	19.9	3.8			5				
γ Ser	F6 V	15	56	26.99	1	15	39	53	3.85			7				
^η Oph, Oph	A2.5 Va	17	10	22.66	-1	15	43	30.5	2.43		4					
^δ Oph, Oph	M1 III	16	14	20.77	-1	3	41	38.3	2.73			1				
