Delphinus (Del)		RA				Dec			mag							
Star	SpecClass	h	m	s		deg	arcmin	arcsec	vm		2	0	0	0	0	0
β Del	F5 IV	20	37	32.87	1	14	35	42.7	3.64		1					
α Del	B9 V	20	39	38.25	1	15	54	43.4	3.77		2					
																
Equuleus (Equ)		RA				Dec			mag							
Star	SpecClass	h	m	s		deg	arcmin	arcsec	vm		0	0	0	0	0	0
α Equ	G0 III	21	15	49.4	1	5	14	53.1	3.92							
																
Piscis Austrinus (PsA)		RA				Dec			mag							
Star	SpecClass	h	m	s		deg	arcmin	arcsec	vm		0	0	0	0	0	0
Formalhaut, α PsA	A3 V	22	57	38.83	-1	29	37	18.6	1.17							
																
Eridanus (Eri)		RA				Dec			mag							
Star	SpecClass	h	m	s		deg	arcmin	arcsec	vm		13	0	0	0	0	0
Achernar, α Eri	B3 Vp	1	37	42.75	-1	57	14	12	0.45		1					
β Eri	A3 IIIvar	5	7	51.03	-1	5	5	10.5	2.78		13					
θ1 Eri	A4 III	2	58	15.72	-1	40	18	17	2.88		3					
γ Eri	M1 IIIb Ca-1	3	58	1.73	-1	13	30	29.7	2.97		11					
δ Eri	K0 IV	3	43	14.96	-1	9	45	54.7	3.52		10					
υ4 Eri	B9 V	4	17	53.62	-1	33	47	54	3.55		4					
φ Eri	B8 IV-V	2	16	30.5	-1	51	30	43.6	3.56							
χ Eri	G5 IV	1	55	56.83	-1	51	36	34.5	3.69		2					
τ4 Eri	M3 / M4 III	3	19	30.97	-1	21	45	28.6	3.7		7					
ε Eri	K2 V	3	32	56.42	-1	9	27	29.9	3.72		9					
υ2 Eri	G8 III	4	35	33.07	-1	30	33	44.3	3.81		6					
53 Eri	K1 III	4	38	10.87	-1	14	18	12.9	3.86							
η Eri	K1 III-IV	2	56	25.6	-1	8	53	51.4	3.89		8					
ν Eri	B2 III SB	4	36	19.14	-1	3	21	8.8	3.93		12					
υ3 Eri	K4 III	4	24	2.17	-1	34	1	1.2	3.97		5					
																
Pyxis (Pyx) [Pup]		RA				Dec			mag							
Star	SpecClass	h	m	s		deg	arcmin	arcsec	vm		2	0	0	0	0	0
α Pyx	B1.5 III	8	43	35.55	-1	33	11	11.1	3.68		1					
β Pyx	G5 II/III	8	40	6.14	-1	35	18	29.9	3.97		2					
																
Vela (Vel) [Car Pup]		RA				Dec			mag							
Star	SpecClass	h	m	s		deg	arcmin	arcsec	vm		8	2	0	0	0	0
γ2 Vel	O7.5 + WC8	8	9	31.96	-1	47	20	11.8	1.83		8	1				
δ Vel	A1 Va(n)	8	44	42.2	-1	54	42	30.8	1.96		1	2				
λ Vel	K4 Ib-II	9	7	59.78	-1	43	25	57.4	2.21		7					
κ Vel	B2 IV	9	22	6.83	-1	55	0	38.5	2.47		2					
μ Vel	G5 III SB	10	46	46.12	-1	49	25	12.5	2.69		4					
HD 82668	K5 III	9	31	13.35	-1	57	2	3.8	3.16							
φ Vel	B5 Ib	9	56	51.75	-1	54	34	4.1	3.52		3					
ο Vel	B3 IV	8	40	17.61	-1	52	55	19.1	3.6							
HD 78004	K2 III	9	4	9.32	-1	47	5	51.8	3.75							
HD 74180	F3 Ia	8	40	37.58	-1	46	38	55.5	3.81							
ρ Vel	F3 IV + F0 V + A6 V	10	37	18.26	-1	48	13	32.2	3.84							
HD 88955	A2 V	10	14	44.27	-1	42	7	19.4	3.85		5					
HD 75063	A1 III	8	46	1.65	-1	46	2	29.5	3.87							
ψ Vel A	F3 VFe-0.7	9	30	42.11	-1	40	28	0.8	3.91		6					
																
Carina (Car) [Pup]		RA				Dec			mag							
Star	SpecClass	h	m	s		deg	arcmin	arcsec	vm		10	2	0	0	0	0
Canopus, α Car	F0 Ib	6	23	57.09	-1	52	41	44.6	-0.72		1					
β Car	A2 IV	9	13	12.24	-1	69	43	2.9	1.67		2					
ε Car	K3 III + B2 V	8	22	30.86	-1	59	30	34.3	1.86		8					
ι Car	A8 Ib	9	17	5.43	-1	59	16	30.9	2.23		7	1				
θ Car	B0 Vp	10	42	57.43	-1	64	23	40.1	2.74		4					
υ Car	A9	9	47	6.14	-1	65	4	19.3	2.92							
ω Car	B8 III	10	13	44.28	-1	70	2	16.5	3.29		3					
p Car	B4 Vne	10	32	1.48	-1	61	41	7.3	3.3		5					
V337 Car	K3 III + B2 V	10	17	5.01	-1	61	19	56.4	3.39		6					
a Car	B2 IV	9	10	58.11	-1	58	58	0.9	3.43							
χ Car	B3 Ivp	7	56	46.74	-1	52	58	56.6	3.46		9					
l Car	G5 Iab/Ib	9	45	14.83	-1	62	30	28.5	3.69							
HD 94510	K0 III-IV	10	53	29.57	-1	58	51	11.8	3.78							
HD 90853	F2 II	10	27	52.75	-1	58	44	21.9	3.81							
HD 76728	B8 III	8	55	2.86	-1	60	38	41	3.84							
V382 Car	G0 Ia0	11	8	35.4	-1	58	58	30.2	3.93							
HD 79447	B3 IV	9	11	16.77	-1	62	19	1.3	3.96							
HD 90589	F2 IV	10	24	23.74	-1	74	1	53.6	3.99							
^δ Vel, Vel	A1 Va(n)	8	44	42.2	-1	54	42	30.8	1.96			2				
^γ2 Vel, Vel	O7.5 + WC8	8	9	31.96	-1	47	20	11.8	1.83		10					
																
Puppis (Pup)		RA				Dec			mag							
Star	SpecClass	h	m	s		deg	arcmin	arcsec	vm		8	2	0	0	0	0
ζ Pup	O5 Iaf	8	3	34.07	-1	40	0	11.5	2.21		7	2				
π Pup	K3 Ib	7	17	8.56	-1	37	5	51	2.71		3					
ρ Pup	F2 m F5 Iip	8	7	32.7	-1	24	18	16	2.83		6					
τ Pup	K0 III	6	49	56.14	-1	50	36	51.8	2.94							
ν Pup	B8 III SB	6	37	45.67	-1	43	11	45.3	3.17		2					
σ Pup	K5 III SB	7	29	13.88	-1	43	18	6.8	3.25							
ξ Pup	G6 Ia	7	49	17.66	-1	24	51	35.2	3.34		5					
c Pup	K4 III	7	45	15.3	-1	37	58	7	3.62							
HD 64440	G5 III	7	52	13.05	-1	40	34	32.9	3.71							
3 Pup	A2 Iab	7	43	48.47	-1	28	57	17.4	3.94		4					
^Canopus, α Car, Car	F0 Ib	6	23	57.09	-1	52	41	44.6	-0.72		1					
^γ2 Vel, Vel	O7.5 + WC8	8	9	31.96	-1	47	20	11.8	1.83		8					
^β Pyx, Pyx	G5 II/III	8	40	6.14	-1	35	18	29.9	3.97			1				
																
Columba (Col)		RA				Dec			mag							
Star	SpecClass	h	m	s		deg	arcmin	arcsec	vm		4	2	0	0	0	0
α Col	B7 IV	5	39	38.94	-1	34	4	26.6	2.65		3					
β Col	K1.5 III	5	50	57.55	-1	35	46	9.5	3.12		2	1				
δ Col	G7 II	6	22	6.85	-1	33	26	10.6	3.85		1					
ε Col	K1 II/III	5	31	12.74	-1	35	28	13.6	3.86		4					
η Col	K0 III	5	59	8.79	-1	42	48	54.4	3.96			2				
